time,open,high,low,close,volume
2026-08-15 09:00,147.1,147.2,147.0,147.15,100
2026-08-15 09:15,147.15,147.25,147.05,147.2,120
2026-08-15 09:30,147.2,147.3,147.1,147.25,110
2026-08-15 09:45,147.25,147.35,147.15,147.3,130
2026-08-15 10:00,147.3,147.4,147.2,147.35,125
2026-08-15 10:15,147.35,147.45,147.25,147.4,140
2026-08-15 10:30,147.4,147.5,147.3,147.45,135
2026-08-15 10:45,147.45,147.5,147.35,147.4,150
2026-08-15 11:00,147.4,147.45,147.25,147.3,145
2026-08-15 11:15,147.3,147.35,147.15,147.2,155
2026-08-15 11:30,147.2,147.25,147.05,147.1,160
2026-08-15 11:45,147.1,147.2,147.0,147.05,150
2026-08-15 12:00,147.05,147.15,146.95,147.0,145
2026-08-15 12:15,147.0,147.1,146.9,146.95,140
2026-08-15 12:30,146.95,147.05,146.85,146.9,135
2026-08-15 12:45,146.9,147.0,146.8,146.85,130
2026-08-15 13:00,146.85,146.95,146.75,146.8,125
2026-08-15 13:15,146.8,146.9,146.7,146.75,120
2026-08-15 13:30,146.75,146.85,146.65,146.7,115
2026-08-15 13:45,146.7,146.8,146.6,146.65,110
